50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.966221,,,,,,,,,,,,1181dfe8-4feb-4a84-bc99-0fab946cedf5,35,,,"[106.5, 68.5]",3943077,0,,,,-1.6075145,3c3fd192-a115-47bc-9224-b5011bb17885,Right Foot,True,,"[105.6, 44.0]",,Ground Pass,,24.516525,,,,Julián Álvarez,29560.0,True,,,,,1,From Kick Off,Gonzalo Ariel Montiel,28263.0,Right Back,2,Argentina,779,['6da477ac-5db6-46e2-b202-a999bd085bf6'],35,,,,,,,,,,,,,,,,,Argentina,779,00:00:35.322,Pass,
,,,,,,,,,,,,,,,,,,,1.971117,,,,,,,,,,,,0c1aed89-16f0-46ca-9311-5a8c80787dbe,39,,,"[5.3, 39.5]",3943077,0,True,,,0.63793135,,Right Foot,,,"[42.8, 67.3]",,High Pass,,46.680725,,Incomplete,,,,,,,,Goal Kick,1,From Goal Kick,Camilo Andrés Vargas Gil,27225.0,Goalkeeper,3,Colombia,769,['f873cb48-6ebf-4343-addb-28131f318995'],58,,,,,,,,,,,,,,,,,Colombia,769,00:00:58.662,Pass,
,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,78e9862f-7130-4020-a5f2-d673dff7e174,41,,,"[41.9, 80.0]",3943077,1,,,,-2.4590747,,,,,"[23.2, 64.8]",,Low Pass,,24.098341,,,,Davinson Sánchez Mina,3494.0,,,,,Throw-in,1,From Throw In,Santiago Arias Naranjo,5696.0,Right Back,4,Colombia,769,['407a5332-7d9d-4a63-8b6e-f6cae756bda3'],13,,,,,,,,,,,,,,,,,Colombia,769,00:01:13.688,Pass,
,,,,,,,,,,,,,,,,,,,2.595378,,,,,,,,,,,,8db7723b-a3b5-4791-b5ba-33da5ad3d668,44,,,"[22.8, 60.5]",3943077,1,,,,-2.2414196,,Right Foot,,,"[6.3, 39.7]",,Ground Pass,,26.549765,,,,Camilo Andrés Vargas Gil,27225.0,,,,,,1,From Throw In,Davinson Sánchez Mina,3494.0,Right Center Back,4,Colombia,769,['87f5f400-c179-4641-89f2-162d11b8ce94'],16,,,,,,,,,,,,,,,,,Colombia,769,00:01:16.541,Pass,
,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,dde594f8-07b6-41b2-aceb-2b79fcd2dc68,47,,,"[4.0, 36.3]",3943077,1,,,,-1.0303768,,Left Foot,,,"[14.8, 18.3]",,Ground Pass,,20.991426,,,,Carlos Eccehomo Cuesta Figueroa,28567.0,,,,,,1,From Throw In,Camilo Andrés Vargas Gil,27225.0,Goalkeeper,4,Colombia,769,['1280ec0d-cb35-48f4-a7d0-4c1fb366144a'],20,,,,,,,,,,,,,,,,,Colombia,769,00:01:20.637,Pass,
,,,,,,,,,,,,,,,,,,,0.985746,,,,,,,,,,,,cc8c0687-2445-4b25-9ff3-9255f7603364,50,,,"[17.4, 17.6]",3943077,1,,,,-1.4288993,,Right Foot,,,"[19.1, 5.7]",,Ground Pass,,12.020815,,,,Johan Andrés Mojica Palacio,5691.0,,,,,,1,From Throw In,Carlos Eccehomo Cuesta Figueroa,28567.0,Left Center Back,4,Colombia,769,['9334d173-ce35-40f3-ba8b-29575a5b4f5b'],24,,,,,,,,,,,,,,,,,Colombia,769,00:01:24.127,Pass,
,,,,,,,,,,,,,,,,,,,4.671747,,,,,,,,,,,,b8ce70d0-ed41-42e2-9c3e-fcb7217faf0e,54,,,"[17.6, 1.2]",3943077,1,,,,0.15952064,,Left Foot,,,"[89.7, 12.8]",,High Pass,,73.02718,,Incomplete,,,,,,,,,1,From Throw In,Johan Andrés Mojica Palacio,5691.0,Left Back,4,Colombia,769,"['5ac5bac4-aec2-414b-8b1d-94a2bb2a3e04', 'dbe7ae66-6028-4caf-b16b-cf68e9e1fd45']",25,,,,,,,,,,,,,,,,,Colombia,769,00:01:25.943,Pass,True
,,,,,,,,,,,,,,,,,,,0.831564,,,,,,,,,,,,5ac5bac4-aec2-414b-8b1d-94a2bb2a3e04,55,,,"[30.4, 67.3]",3943077,1,,,,0.6025883,,Right Foot,,,"[44.5, 77.0]",,Ground Pass,,17.11432,,,,Rodrigo Javier De Paul,7797.0,,,,,Recovery,1,Regular Play,Cristian Gabriel Romero,20572.0,Right Center Back,5,Argentina,779,"['03cd3340-209c-4425-ad0e-3d3a3a99c85f', 'b8ce70d0-ed41-42e2-9c3e-fcb7217faf0e']",30,,,,,,,,,,,,,,,,,Argentina,779,00:01:30.615,Pass,
,,,,,,,,,,,,,,,,,,,2.008672,,,,,,,,,,,,d8fd8553-5262-4a0b-a878-59faf419274a,58,,,"[42.9, 67.3]",3943077,1,,,,-1.8986567,,Right Foot,,,"[27.9, 23.2]",,Ground Pass,,46.58122,,,,Nicolás Alejandro Tagliafico,5507.0,,True,,,,1,Regular Play,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,5,Argentina,779,['c05658a3-967d-4e40-bb48-5603ae65694f'],34,,,,,,,,,,,,,,,,,Argentina,779,00:01:34.057,Pass,
,,,,,,,,,,,,,,,,,,,0.162045,,,,,,,,,,,,84c5b355-7f3e-4c89-928a-a914ade97648,62,,,"[68.9, 8.6]",3943077,1,,,,0.65107673,,Left Foot,,,"[71.0, 10.2]",,Ground Pass,,2.6400757,,Incomplete,,Julián Álvarez,29560.0,,,,,,1,Regular Play,Nicolás Alejandro Tagliafico,5507.0,Left Back,5,Argentina,779,"['25346119-e64b-4d16-8ac3-a74032214362', '2d11e1a4-1a03-4c1c-b38f-4161c25ab377', '6f3563b8-77d8-4d85-a5d1-56dd26f72482']",42,,,,,,,,,,,,,,,,,Argentina,779,00:01:42.887,Pass,True
