50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.36325,,,,,,,,,,,,,a0ad0eec-0eb2-45f9-bb20-7606bbd9cb3b,50,,,"[34.5, 52.7]",3942852,0,,,,2.546523,,Left Foot,,,,"[21.5, 61.5]",,Ground Pass,,15.698407,,,José María Giménez de Vargas,5259.0,,,,,,1,Regular Play,Manuel Ugarte Ribeiro,36659.0,Left Center Back,3,Uruguay,783,['6609dba9-dd8a-42dc-a638-9be08df4c905'],53,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:53.009,Pass,
,,,,,,,,,,,,,,,,1.234616,,,,,,,,,,,,,7d4da19e-0d29-417e-8d5b-dbd2a732620a,52,,,"[21.5, 61.5]",3942852,0,,,,0.6070999,,Right Foot,,,,"[38.2, 73.1]",,Ground Pass,,20.33347,,,Sebastián Enzo Cáceres Ramos,35690.0,,,,,,1,Regular Play,José María Giménez de Vargas,5259.0,Right Center Back,3,Uruguay,783,['7895f37c-a69e-4fad-b5b4-f4a2a47876ca'],54,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:54.372,Pass,
,,,,,,,,,,,,,,,,2.559199,,,,,,,,,,,,,6a69f1c6-3301-45ff-a570-cc6d0a6ecc05,55,,,"[39.6, 79.3]",3942852,0,,,,-0.11691404,,Right Foot,,,,"[69.4, 75.8]",,Ground Pass,,30.004833,Incomplete,,,,,,,,,1,Regular Play,Sebastián Enzo Cáceres Ramos,35690.0,Right Back,3,Uruguay,783,['784f07c8-e9fb-4541-99de-528133e62667'],57,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:57.027,Pass,
,,,,,,,,,,,,,,,,0.98354,,,,,,,,,,,,,784f07c8-e9fb-4541-99de-528133e62667,56,,,"[50.7, 4.3]",3942852,0,,,,-0.2179987,,Left Foot,,,,"[66.5, 0.8]",,Ground Pass,,16.183016,,,Jefferson Andrés Lerma Solís,5678.0,,,,,Recovery,1,Regular Play,Johan Andrés Mojica Palacio,5691.0,Left Back,4,Colombia,769,"['3309f3be-451b-428e-a47b-b9654e373706', '6a69f1c6-3301-45ff-a570-cc6d0a6ecc05']",59,,,,,,,,,,,,,,,,,,Colombia,769,00:00:59.587,Pass,
,,,,,,,,,,,,,,,,0.577049,,,,,,,,,,,,,6a081538-0219-4322-8ab4-12a70f757c8a,58,,,"[66.6, 1.9]",3942852,1,,,,1.8799952,,Right Foot,,,,"[64.3, 9.1]",,Ground Pass,,7.558439,,,James David Rodríguez Rubio,5695.0,,,,,,1,Regular Play,Jefferson Andrés Lerma Solís,5678.0,Left Defensive Midfield,4,Colombia,769,['b6a39dfa-7c4d-4cef-939f-15790c7873d6'],0,,,,,,,,,,,,,,,,,,Colombia,769,00:01:00.570,Pass,
,,,,,,,,,,,,,,,,0.941805,,,,,,,,,,,,,ed392190-9c18-4a79-8374-438d573be7d6,62,,,"[64.6, 10.0]",3942852,1,,,,-2.1736345,,Left Foot,,,,"[59.3, 2.3]",,Ground Pass,,9.347727,,,Johan Andrés Mojica Palacio,5691.0,,,,,,1,Regular Play,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,4,Colombia,769,"['65ddbee6-b52d-4cd2-a521-2f0a937817e1', '7c9347fe-b059-4f0e-9b3b-b158ff9879e6']",1,,,,,,,,,,,,,,,,,,Colombia,769,00:01:01.503,Pass,True
,,,,,,,,,,,,,,,,0.588848,,,,,,,,,,,,,ff789109-158c-4d0c-8fc4-66ba222047d0,66,,,"[62.6, 0.8]",3942852,1,,,,2.009909,,Left Foot,,,,"[59.5, 7.4]",,Ground Pass,,7.291776,,,James David Rodríguez Rubio,5695.0,,,,,,1,Regular Play,Johan Andrés Mojica Palacio,5691.0,Left Back,4,Colombia,769,"['d10b78e1-173f-4bf3-9ab0-45a23778e6db', 'db156ae8-6e22-4464-820d-20846cf7176a']",3,,,,,,,,,,,,,,,,,,Colombia,769,00:01:03.847,Pass,True
,,,,,,,,,,,,,,,,2.441681,,,,,,,,,,,,,ffa69cf5-0de1-40d4-a80e-6ce9fd70fbac,69,,,"[59.1, 7.2]",3942852,1,,,,0.0,,Left Foot,,,,"[92.8, 7.2]",,High Pass,,33.7,Incomplete,,Luis Fernando Díaz Marulanda,27158.0,,,,,,1,Regular Play,James David Rodríguez Rubio,5695.0,Center Attacking Midfield,4,Colombia,769,"['b8e50cae-824d-44d4-9b8b-edd5df66a678', 'ee16c2e6-e724-4ad6-9f3a-cf28f4d44ad1']",4,,,,,,,,,,,,,,,,,,Colombia,769,00:01:04.454,Pass,
,,,,,,,,,,,,,,,,1.608244,,,,,,,,,,,,,352b3999-c43d-41ff-9d86-edebafc6023c,73,,,"[31.7, 69.4]",3942852,1,,,,0.24626401,,Right Foot,,,,"[68.3, 78.6]",,Low Pass,,37.738575,,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,Recovery,1,Regular Play,Sebastián Enzo Cáceres Ramos,35690.0,Right Back,5,Uruguay,783,['9430b5d9-69aa-4d71-b83f-ae057e6db3c4'],8,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:08.893,Pass,
,,,,,,,,,,,,,,,,1.398022,,,,,,,,,,,,,009a3d9f-4f86-4e95-b6ce-5cc6a1795ab6,75,,,"[68.3, 78.0]",3942852,1,,,,-2.3119755,,Right Foot,,,,"[62.9, 72.1]",,Ground Pass,,7.9981246,,,Rodrigo Bentancur Colmán,5260.0,,,,,,1,Regular Play,Darwin Gabriel Núñez Ribeiro,32478.0,Center Forward,5,Uruguay,783,['71c20cfa-2755-4abc-b147-51198a6aabf7'],10,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:10.501,Pass,
